Title,Author(s),Year,Source,Status,Exclusion Criteria,Inclusion Criteria,Quality Grade,Goal
Design of an empirical study for comparing the usability of concurrent programming languages,Sebastian Nanz and Faraz Torshizi and Michela Pedroni and Bertrand Meyer,2013,Science@Direct,Accepted,,Experiment,1.0,Explore relationships
Identifying some important success factors in adopting agile software development practices,Subhas Chandra Misra and Vinod Kumar and Uma Kumar,2009,Science@Direct,Accepted,,Survey,1.0,Evaluate the accuracy of models
Comparison of search strategies for feature location in software models,Jorge Echeverría and Jaime Font and Francisca Pérez and Carlos Cetina,2021,Science@Direct,Accepted,,Experiment,1.0,Explore relationships
Measuring where it matters: Determining starting points for metrics collection,Joost Schalken and Hans {van Vliet},2008,Science@Direct,Accepted,,Case Study,1.0,Evaluate the accuracy of models
Effect of developer collaboration activity on software quality in two large scale projects,Bora Çaglayan and Ayşe Başar Bener,2016,Science@Direct,Accepted,,Experiment,1.0,Explore relationships
Empirical validation of a usability inspection method for model-driven Web development,Adrian Fernandez and Silvia Abrahão and Emilio Insfran,2013,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Code smells as system-level indicators of maintainability: An empirical study,Aiko Yamashita and Steve Counsell,2013,Science@Direct,Accepted,,Experiment,1.0,Confirm theories
Assessing the influence of stereotypes on the comprehension of UML sequence diagrams: A family of experiments,José A. Cruz-Lemus and Marcela Genero and Danilo Caivano and Silvia Abrahão and Emilio Insfrán and José A. Carsí,2011,Science@Direct,Accepted,,Experiment,1.0,Confirm theories
Investigating comprehension and learnability aspects of use cases for software specification problems,Saurabh Tiwari and Atul Gupta,2017,Science@Direct,Accepted,,Experiment,1.0,Explore relationships
Specifying uncertainty in use case models,Man Zhang and Tao Yue and Shaukat Ali and Bran Selic and Oscar Okariz and Roland Norgre and Karmele Intxausti,2018,Science@Direct,Accepted,,Case Study,1.0,Evaluate the accuracy of models
A replicated empirical study of a selection method for software reliability growth models,"Andersson, Carina",2006,Springer Link,Accepted,,Experiment,1.0,Validate measures
Testing environmental models supported by machine learning,"De Santiago, Valdivino Alexandre and Da Silva, Leoni Augusto Romain and De Andrade Neto, Pedro Ribeiro",2018,El Compendex,Duplicated,,,1.0,Evaluate the accuracy of models
Testing scientific software: A systematic literature review,Upulee Kanewala and James M. Bieman,2014,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Codex: A metamodel ontology to guide the execution of coding experiments,Waldemar Ferreira and Maria Teresa Baldassarre and Sergio Soares,2018,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Experience Report on Variability Improvement in a Product Line Engineering Unaware Company,"Morais Ferreira, David and Becker, Martin and Tenev, Vasil L.",2020,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Evaluating the Usefulness of Software Visualization in Supporting Software Comprehension Activities,"Carneiro, Glauco de Figueiredo and Magnavita, Rodrigo Chaves and Spinola, Eduardo and Spinola, Fabio and Mendon\c{c}a, Manoel",2008,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Adopting threat modelling in agile software development projects,Karin Bernsmed and Daniela Soares Cruzes and Martin Gilje Jaatun and Monica Iovan,2022,Science@Direct,Accepted,,Survey,1.0,Explore relationships
Teaching disciplined software development,Dieter Rombach and Jürgen Münch and Alexis Ocampo and Watts S. Humphrey and Dan Burton,2008,Science@Direct,Rejected,Out of Scope,,N/A,N/A
A systematic literature review on the industrial use of software process simulation,Nauman Bin Ali and Kai Petersen and Claes Wohlin,2014,Science@Direct,Rejected,Not a primary study,,N/A,N/A
The supportive effect of patterns in architecture decision recovery— A controlled experiment,Uwe {van Heesch} and Paris Avgeriou and Uwe Zdun and Neil Harrison,2012,Science@Direct,Accepted,,Experiment,1.0,Confirm theories
Preventing accessibility barriers: Guidelines for using user interface design patterns in mobile applications,Luciana A.M. Zaina and Renata P.M. Fortes and Vitor Casadei and Leornardo Seiji Nozaki and Débora Maria Barroso Paiva,2022,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Advances in GUI Testing,Atif M Memon,2003,Science@Direct,Rejected,Out of Scope,,N/A,N/A
The Commenting Practice of Open Source,"Arafat, Oliver and Riehle, Dirk",2009,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
An examination of mobile phone pointing in surface mapped spatial augmented reality,Jeremy Hartmann and Daniel Vogel,2021,Science@Direct,Accepted,,Experiment,1.0,Explore relationships
Software engineering education: A study on conducting collaborative senior project development,Chung-Yang Chen and P. Pete Chong,2011,Science@Direct,Accepted,,Survey,1.0,Explore relationships
Reusable and generic design decisions for developing UML-based domain-specific languages,Bernhard Hoisl and Stefan Sobernig and Mark Strembeck,2017,Science@Direct,Accepted,,Survey,1.0,Explore relationships
Web Effort Estimation: Function Point Analysis vs. COSMIC,Sergio {Di Martino} and Filomena Ferrucci and Carmine Gravino and Federica Sarro,2016,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Mining repair model for exception-related bug,Hao Zhong and Hong Mei,2018,Science@Direct,Accepted,,Experiment,1.0,Confirm theories
Quantifying usability of domain-specific languages: An empirical study on software maintenance,Diego Albuquerque and Bruno Cafeo and Alessandro Garcia and Simone Barbosa and Silvia Abrahão and António Ribeiro,2015,Science@Direct,Accepted,,Survey,1.0,Evaluate the accuracy of models
An exploratory study on ontology engineering for software architecture documentation,K.A. {de Graaf} and P. Liang and A. Tang and W.R. {van Hage} and H. {van Vliet},2014,Science@Direct,Accepted,,Case Study,1.0,Explore relationships
Reproducibility and replicability of software defect prediction studies,Zaheed Mahmood and David Bowes and Tracy Hall and Peter C.R. Lane and Jean Petrić,2018,Science@Direct,Accepted,,Experiment,0.5,Confirm theories
The impact of Software Testing education on code reliability: An empirical assessment,Otávio Augusto {Lazzarini Lemos} and Fábio {Fagundes Silveira} and Fabiano {Cutigi Ferrari} and Alessandro Garcia,2018,Science@Direct,Accepted,,Experiment,1.0,Confirm theories
An experiment on the role of graphical elements in architecture visualization,"Knodel, Jens and Muthig, Dirk and Naab, Matthias",2008,Springer Link,Accepted,,Experiment,1.0,Confirm theories
Evaluating Pair Programming with Respect to System Complexity and Programmer Expertise,"Arisholm, Erik and Gallis, Hans and Dyba, Tore and Sjoberg, Dag I.K.",2007,IEEE Xplore,Accepted,,Experiment,1.0,Evaluate the accuracy of models
The impact of domain knowledge on the effectiveness of requirements engineering activities,"Niknafs, Ali and Berry, Daniel",2017,Springer Link,Accepted,,Experiment,0.0,
Architecture and Design Intent: An Experience Report,"Grisham, Paul S. and Hawthorne, Matthew J. and Perry, Dewayne E.",2007,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Causal Analysis and Resolution with Theory of Constraints: The CARTOC Method,"Oliveira, Yure Ouriques and Cerdeiral, Cristina and Santos, Gleison",2018,ACM Digital Library,Accepted,,Case Study,0.0,
Natural Language Processing for Requirements Engineering: A Systematic Mapping Study,"Zhao, Liping and Alhoshan, Waad and Ferrari, Alessio and Letsholo, Keletso J. and Ajagbe, Muideen A. and Chioasca, Erol-Valeriu and Batista-Navarro, Riza T.",2021,ACM Digital Library,Rejected,Not a primary study,,N/A,N/A
Impact of Process Simulation on Software Practice: An Initial Report,"Zhang, He and Jeffery, Ross and Houston, Dan and Huang, Liguo and Zhu, Liming",2011,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Evaluating Usability of IFML Models: How Usability is Perceived and Propagated,"Queiroz, Randerson and Marques, Anna Beatriz and Lopes, Adriana and Oliveira, Edson and Conte, Tayana",2018,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
A Modified Version Control Tool for Component-Based Systems,"Kaur, Parminder and Singh, Hardeep",2013,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
A Classification for Managing Software Engineering Knowledge,"Kaplan, Angelika and Walter, Maximilian and Heinrich, Robert",2021,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Investigations about Replication of Empirical Studies in Software Engineering: Preliminary Findings from a Mapping Study,"de Magalh\~{a}es, Cleyton V. C. and da Silva, Fabio Q. B. and Santos, Ronnie E. S.",2014,ACM Digital Library,Rejected,Not a primary study,,N/A,N/A
Static Analysis and Penetration Testing from the Perspective of Maintenance Teams,"Ceccato, Mariano and Scandariato, Riccardo",2016,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Java Cryptography Uses in the Wild,"Hazhirpasand, Mohammadreza and Ghafari, Mohammad and Nierstrasz, Oscar",2020,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
BragFish: Exploring Physical and Social Interaction in Co-Located Handheld Augmented Reality Games,"Xu, Yan and Gandy, Maribeth and Deen, Sami and Schrank, Brian and Spreen, Kim and Gorbsky, Michael and White, Timothy and Barba, Evan and Radu, Iulian and Bolter, Jay and MacIntyre, Blair",2008,ACM Digital Library,Accepted,,Case Study,1.0,Evaluate the accuracy of models
Claims and Supporting Evidence for Self-Adaptive Systems: A Literature Study,"Weyns, Danny and Iftikhar, M. Usman and Malek, Sam and Andersson, Jesper",2012,ACM Digital Library,Rejected,Not a primary study,,N/A,N/A
Evidence-Based Practice in Human-Computer Interaction and Evidence Maps,"John, Bonnie E.",2005,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Towards a Methodology for Participant Selection in Software Engineering Experiments: A Vision of the Future,"Lenarduzzi, Valentina and Dieste, Oscar and Fucci, Davide and Vegas, Sira",2021,ACM Digital Library,Rejected,Not a primary study,,N/A,N/A
Failure patterns in operating systems: An exploratory and observational study,Caio Augusto Rodrigues {dos Santos} and Rivalino Matias,2018,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Software product line scoping: A systematic literature review,Luciano Marchezan and Elder Rodrigues and Wesley Klewerton Guez Assunção and Maicon Bernardino and Fábio Paulo Basso and João Carbonell,2022,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Maximising the Information Gained from an Experimental Analysis of Code Inspection and Static Analysis for Concurrent Java Components,"Wojcicki, Margaret A. and Strooper, Paul",2006,ACM Digital Library,Accepted,,Experiment,1.0,Explore relationships
Further Analysis on the Validation of a Usability Inspection Method for Model-Driven Web Development,"Fernandez, Adrian and Abrah\~{a}o, Silvia and Insfran, Emilio and Matera, Maristella",2012,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Evaluating a Model of Software Managers' Information Needs: An Experiment,"Jedlitschka, Andreas",2010,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
The Impact of Students' Skills and Experiences on Empirical Results: A Controlled Experiment with Undergraduate and Graduate Students,"Daun, Marian and Salmon, Andrea and Weyer, Thorsten and Pohl, Klaus",2015,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
Assessment of a Hybrid Software Development Process for Student Projects: A Controlled Experiment,"W\l{}odarski, Rafa\l{} and Falleri, Jean-Remy and Parv\'{e}ry, Corinne",2021,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Testing and Inspecting Reusable Product Line Components: First Empirical Results,"Denger, Christian and Kolb, Ronny",2006,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Architectural Design Decision Visualization for Architecture Design: Preliminary Results of a Controlled Experiment,"Shahin, Mojtaba and Liang, Peng and Li, Zengyang",2011,ACM Digital Library,Accepted,,Experiment,1.0,Explore relationships
Distributed versus Face-to-Face Meetings for Architecture Evalution: A Controlled Experiment,"Ali Babar, Muhammad and Kitchenham, Barbara and Jeffery, Ross",2006,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Automated Unit Test Generation during Software Development: A Controlled Experiment and Think-Aloud Observations,"Rojas, Jos\'{e} Miguel and Fraser, Gordon and Arcuri, Andrea",2015,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
A mixed-methods analysis of micro-collaborative coding practices in {OpenStack},"Foundjem, Armstrong and Constantinou, Eleni and Mens, Tom and Adams, Bram",2022,Springer Link,Rejected,Out of Scope,,N/A,N/A
A mixed-method approach for the empirical evaluation of the issue-based variability modeling,Anil Kumar Thurimella and Bernd Brügge,2013,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Adaptability Performance Trade-off: A Controlled Experiment,"Brennan, Adam and Greer, Des and McDaid, Kevin",2010,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
Using patterns for the refinement and translationof UML models: A controlled experiment,"Bunse, Christian",2006,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
An Integrated Tool Environment for Experimentation in Domain Specific Language Engineering,"H\""{a}ser, Florian and Felderer, Michael and Breu, Ruth",2016,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
